ID,Name,Wins,Battles,Cards,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
P0GVVY2G,"Palitovsk",10,11,8436,1487;2;2,1020;1;1,1189;2;2,850;0;1,;;,850;1;1,640;1;1,960;1;1,640;1;1,800;1;1
90PYV9,"haren sheik",4,8,6687,1487;2;2,;;,1680;1;2,;;,;;,800;0;1,960;1;1,800;0;1,960;0;1,;;
8Y0VL9C,"Miinero",5,7,5747,1487;2;2,;;,;;,680;1;1,1020;0;1,;;,;;,640;1;1,960;1;1,960;0;1
2L88YQ9U,"bruno luan™✔",8,10,8061,892;2;2,850;1;1,1189;1;1,1020;1;1,850;1;1,1020;1;1,640;0;1,640;0;1,960;1;1,;;
2GPLG8R0Q,"Tiago Pirelli",4,10,5595,1785;1;2,;;,280;0;2,650;1;1,160;0;0,320;0;1,800;0;1,640;1;1,480;0;1,480;1;1
8L0VC8LL,"EvilMan",6,10,9040,1680;1;1,480;0;1,1120;0;1,800;0;1,800;1;1,960;1;1,640;1;1,960;1;1,800;1;1,800;0;1
2GV8JR28,"Pedro~`",7,11,9000,1680;1;2,480;1;1,1400;0;1,800;0;1,640;1;1,960;1;1,800;0;1,960;1;1,640;1;1,640;1;1
YCPC92CC,"ForçaChape",9,12,8487,1487;1;2,640;1;1,1400;1;1,800;0;1,480;1;1,800;1;1,800;1;1,800;2;2,480;1;1,800;0;1
92VJ98Q,"Luke Skywalker",5,10,9644,1487;1;1,850;1;1,1487;0;1,1020;1;1,800;1;1,800;0;1,640;0;1,960;0;1,800;1;1,800;0;1
YQPG2LGU,"Erick_YouTube™",4,5,4786,1189;1;1,510;1;1,1487;0;1,640;1;1,960;1;1,;;,;;,;;,;;,;;
VY0LLGJ,"~Criss⚡Daniels~",2,3,2149,1189;1;2,960;1;1,;;,;;,;;,;;,;;,;;,;;,;;
29UURV08C,"Gunner",5,10,8675,1155;1;1,960;1;1,1120;0;1,640;0;1,640;0;1,960;1;1,800;0;1,800;1;1,960;0;1,640;1;1
82YQPJ,"iMagicPrince",7,11,8341,891;1;2,830;0;1,1400;0;1,850;1;1,640;1;1,640;1;1,850;1;1,640;1;1,800;0;1,800;1;1
PLGGRVUG,"Vingador",5,8,6672,1785;0;1,680;0;1,1487;1;2,800;1;1,640;1;1,800;1;1,480;1;1,;;,;;,;;
