ID,Name,Wins,Battles,Cards,LiveCol,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
J9YQ8C,"$Maycon$",3,5,3680,;;,;;,;;,;;,;;,;;,640;0;1,800;0;1,800;1;1,800;1;1,640;1;1
2P2Y9P8P,"%MITINHOOONUB%",2,2,1440,;;,;;,;;,;;,;;,;;,;;,;;,;;,640;1;1,800;1;1
2PJC0R2VG,"Andrelds",3,6,7029,680;2;2,1189;0;1,1400;0;1,960;1;1,1680;0;1,640;1;1,480;1;1,;;,;;,;;,;;
2PV0VYGLV,"Be Happy",2,5,4760,;;,;;,;;,;;,1400;0;1,960;1;1,960;0;1,800;1;1,640;0;1,;;,;;
2RQ0CRLL,"Begheli7",5,8,9054,;;,1487;0;0,1487;0;1,640;0;0,1120;1;1,800;1;1,480;1;1,640;0;1,800;0;1,800;1;1,800;1;1
9R0P0JQV,"Bill Clinton",2,3,2080,;;,;;,;;,;;,;;,;;,;;,;;,480;1;2,800;1;1,800;0;0
VQ2LJ0Q2,"Bit BrR",3,7,6654,;;,1487;0;1,1487;0;1,640;1;1,1120;0;1,800;1;1,480;0;1,640;1;1,;;,;;,;;
2L88YQ9U,"bruno luan™✔",8,12,9462,510;0;3,891;0;2,892;2;2,850;1;1,1189;1;1,1020;1;1,850;1;1,1020;1;1,640;0;1,640;0;1,960;1;1
RQ2PCL2,"BrunoCM",2,7,7181,1020;3;3,1487;0;1,1487;0;1,850;0;1,1487;1;2,850;1;2,;;,;;,;;,;;,;;
2QL9UJ80C,"charlys ✌️",2,4,3330,170;0;1,560;1;1,;;,;;,840;0;1,;;,800;0;1,960;1;1,;;,;;,;;
PVLVGR,"Chris™",1,2,1680,;;,1680;1;2,;;,;;,;;,;;,;;,;;,;;,;;,;;
89RUGR8QR,"cão de inferno",1,1,1280,;;,;;,;;,480;0;0,;;,;;,;;,;;,;;,800;1;1,;;
22GJUY9P,"D. Vinícius",0,1,960,;;,;;,;;,;;,;;,;;,;;,960;0;1,;;,;;,;;
8YGYLRLJ,"dianadisrd",6,8,5320,;;,;;,;;,;;,840;0;2,480;1;1,800;1;1,640;1;1,800;1;1,800;1;1,960;1;1
2098UL99Q,"dodô",7,12,9645,1020;3;3,1189;0;1,1487;0;2,680;1;1,1189;0;1,510;1;2,850;1;1,800;1;1,640;1;1,800;1;1,480;1;1
R28CUV8,"DUNHA",1,1,1020,;;,;;,;;,1020;1;1,;;,;;,;;,;;,;;,;;,;;
Y99VJLC0,"eduroam",2,5,3200,;;,;;,;;,;;,1120;0;2,800;0;1,800;1;1,480;1;1,;;,;;,;;
YQPG2LGU,"Erick_YouTube™",4,6,6571,;;,1785;0;1,1189;1;1,510;1;1,1487;0;1,640;1;1,960;1;1,;;,;;,;;,;;
8L0VC8LL,"EvilMan",7,11,10440,800;2;3,1400;1;2,1680;1;1,480;0;1,1120;0;1,800;0;1,800;1;1,960;1;1,640;1;1,960;1;1,800;1;1
